id,fieldsec_secid,fieldsec_fieldid,fieldsecsort
144912,110614,175484,2
144913,110614,175485,3
144914,110614,175486,4
144915,110614,175487,5
144916,110614,175488,6
144917,110614,175489,7
144918,110614,175490,8
144919,110614,175491,9
144920,110614,175492,10
144921,110615,175493,1
144922,110615,175494,2
144923,110615,175495,3
144924,110615,175496,4
144925,110615,175497,5
144926,110615,175498,6
144927,110615,175499,7
144928,110615,175500,8
144929,110615,175501,9
144930,110615,175502,10
144931,110615,175503,11
144932,110615,175504,12
144933,110615,175505,13
144934,110615,175506,14
144935,110615,175507,15
144936,110616,175508,1
144937,110616,175509,2
144938,110617,175510,1
144939,110617,175511,2
144940,110617,175512,3
144941,110617,175513,4
144942,110617,175514,5
144943,110617,175515,6
144944,110617,175516,7
144945,110617,175517,8
144946,110617,175518,9
144947,110617,175519,10
144948,110617,175520,11
144949,110617,175521,12
144950,110617,175522,13
144951,110617,175523,14
144952,110617,175524,15
144953,110617,175525,16
144954,110617,175526,17
144955,110617,175527,18
144956,110617,175528,19
144957,110617,175529,20
144958,110617,175530,21
144959,110617,175531,22
144960,110617,175532,23
144961,110617,175533,24
144962,110617,175534,25
144963,110617,175535,26
144964,110617,175536,27
144965,110617,175537,28
144966,110617,175538,29
144967,110617,175539,30
144968,110617,175540,31
144969,110617,175541,32
144970,110617,175542,33
144971,110617,175543,34
144972,110617,175544,35
144974,110617,175546,37
144975,110617,175547,38
144976,110617,175548,39
144977,110617,175549,40
144978,110617,175550,41
144979,110617,175551,42
144980,110617,175552,43
144981,110617,175553,44
144982,110617,175554,45
144983,110617,175555,46
144984,110617,175556,47
144985,110617,175557,48
144986,110617,175558,49
144987,110617,175559,50
144988,110617,175560,51
144989,110617,175561,52
144990,110617,175562,53
144991,110617,175563,54
144992,110617,175564,55
144993,110617,175565,56
144994,110618,175566,1
144996,110618,175568,3
144997,110618,175569,4
144998,110618,175570,5
145000,110619,175572,2
145002,110619,175574,4
145003,110619,175575,5
145005,110619,175577,7
145006,110619,175578,8
145007,110619,175579,9
145008,110619,175580,10
145009,110619,175581,11
145010,110619,175582,12
145011,110619,175583,13
145012,110619,175584,14
145013,110619,175585,15
145014,110619,175586,16
145015,110619,175587,17
145016,110619,175588,18
145017,110619,175589,19
145018,110620,175590,1
145019,110620,175591,2
145021,110620,175593,4
145022,110620,175594,5
145023,110620,175595,6
145024,110620,175596,7
145025,110620,175597,8
145026,110620,175598,9
145027,110620,175599,10
145028,110620,175600,11
145029,110620,175601,12
145030,110620,175602,13
145031,110620,175603,14
145032,110620,175604,15
145033,110620,175605,16
145034,110620,175606,17
145035,110620,175607,18
145036,110620,175608,19
145037,110620,175609,20
145038,110620,175610,21
145039,110620,175611,22
145040,110620,175612,23
145041,110620,175613,24
145042,110620,175614,25
145043,110620,175615,26
145045,110620,175617,28
145046,110620,175618,29
145047,110620,175619,30
145048,110620,175620,31
145049,110620,175621,32
145050,110620,175622,33
145051,110621,175623,1
145052,110621,175624,2
145053,110621,175625,3
145055,110621,175627,5
145056,110621,175628,6
145057,110621,175629,7
145058,110621,175630,8
145059,110621,175631,9
145060,110621,175632,10
145061,110622,175633,1
145062,110622,175634,2
145063,110622,175635,3
145064,110622,175636,4
145065,110622,175637,5
145066,110622,175638,6
145067,110622,175639,7
145068,110622,175640,8
145069,110622,175641,9
145070,110622,175642,10
145073,110622,175645,13
145074,110622,175646,14
145075,110622,175647,15
145076,110622,175648,16
145077,110622,175649,17
145078,110622,175650,18
145079,110623,175651,1
145080,110623,175652,2
145081,110623,175653,3
145082,110623,175654,4
145083,110623,175655,5
145084,110623,175656,6
145085,110623,175657,7
145086,110623,175658,8
145087,110623,175659,9
145088,110623,175660,10
145089,110623,175661,11
145090,110623,175662,12
145091,110623,175663,13
145092,110623,175664,14
145093,110623,175665,15
