id,fieldata_fieldid,fieldata_optionvalues,fielddata_codes,actiontaken,isActive
187972,175602,Yes,1,0,
187973,175602,No,2,0,
187974,175610,Yes,1,0,
187975,175610,No,2,0,
187976,175620,Yes,1,0,
187977,175620,No,2,0,
187978,175653,single room,1,0,
187979,175653,shared,2,0,
187980,175653,deluxe,3,0,
187981,175653,1st floor,4,0,
187982,175653,2nd Floor,5,0,
187983,175654,Cash,1,0,
187984,175654,Credit,2,0,
187985,175654,In one go,3,0,
187986,175654,Multiple time,4,0,
187987,175655,Yes,1,0,
187988,175655,No,2,0,
187989,175663,Yes,1,0,
187990,175663,No,2,0,
187991,175665,Yes,1,0,
187992,175665,No,2,0,
187993,175667,Yes,1,0,
187994,175667,No,2,0,
187995,175669,Yes,1,0,
187996,175669,No,2,0,
187997,175671,Yes,1,0,
187998,175671,No,2,0,
188003,175676,Yes,1,0,
188004,175676,No,2,0,
188005,175678,Yes,1,0,
188006,175678,No,2,0,
188007,175680,Yes,1,0,
188008,175680,No,2,0,
188009,175682,Yes,1,0,
188010,175682,No,2,0,
188011,175684,Yes,1,0,
188012,175684,No,2,0,
188013,175686,Yes,1,0,
188014,175686,No,2,0,
188015,175688,Yes,1,0,
188016,175688,No,2,0,
188017,175690,Yes,1,0,
188018,175690,No,2,0,
188019,175693,Yes,1,0,
188020,175693,No,2,0,
188021,175696,Yes,1,0,
188022,175696,No,2,0,
188023,175698,Father,1,0,
188024,175698,Mother,2,0,
188025,175698,Sister,3,0,
188026,175698,Brother,4,0,
188027,175698,Son,5,0,
188028,175698,Daughter,6,0,
188029,175698,Relative,7,0,
188030,175701,Yes,1,0,
188031,175701,No,2,0,
188032,175703,Yes,1,0,
188033,175703,No,2,0,
188034,175705,Yes,1,0,
188035,175705,No,2,0,
188036,175707,Yes,1,0,
188037,175707,No,2,0,
188038,175709,Yes,1,0,
188039,175709,No,2,0,
188040,175711,Yes,1,0,
188041,175711,No,2,0,
188042,175713,Yes,1,0,
188043,175713,No,2,0,
188044,175715,Yes,1,0,
188045,175715,No,2,0,
188046,175717,Yes,1,0,
188047,175717,No,2,0,
188048,175719,Yes,1,0,
188049,175719,No,2,0,
188050,175721,Yes,1,0,
188051,175721,No,2,0,
188052,175723,Yes,1,0,
188053,175723,No,2,0,
188054,175725,Yes,1,0,
188055,175725,No,2,0,
188056,175727,Yes,1,0,
188057,175727,No,2,0,
188058,175730,Yes,1,0,
188059,175730,No,2,0,
188060,175732,Yes,1,0,
188061,175732,No,2,0,
188062,175734,Yes,1,0,
188063,175734,No,2,0,
188064,175736,Yes,1,0,
188065,175736,No,2,0,
188068,175739,Yes,1,0,
188069,175739,No,2,0,
188070,175741,Yes,1,0,
188071,175741,No,2,0,
188072,175743,Yes,1,0,
188073,175743,No,2,0,
188074,175745,Yes,1,0,
188075,175745,No,2,0,
188076,175747,Yes,1,0,
188077,175747,No,2,0,
188078,175749,Yes,1,0,
188079,175749,No,2,0,
188080,175751,Yes,1,0,
188081,175751,No,2,0,
188082,175242,A/C DUCTMAN,1,0,
188083,175242,Advocate / Lawyer,2,0,
188084,175242,Businessman/Industrialist Large Scale,3,0,
188085,175242,Businessman/Industrialist Medium Scale,4,0,
188086,175242,Businessman/Industrialist Small Scale,5,0,
188087,175242,Carpenter,6,0,
188088,175242,Chartered Accountants,7,0,
188089,175242,Clerical,8,0,
188090,175242,Cook,9,0,
188091,175242,ELECTRIC ARC WELDER,10,0,
188092,175242,Executive - Middle Level,11,0,
188093,175242,Executive - Senior Level,12,0,
188094,175242,Executive Junior Level,13,0,
188095,175242,Farming,14,0,
188096,175242,Housemaid,15,0,
188097,175242,HouseWife,16,0,
188098,175242,INDUSTRIAL WIRING ELECTRICIAN,17,0,
188099,175242,Labourer,18,0,
188100,175242,Mason,19,0,
188101,175242,Not Working,20,0,
188102,175242,Others ,21,0,
188103,175242,OXYGEN WELDER,22,0,
188104,175242,Reinforcing Fitter,23,0,
188105,175242,Retired,24,0,
188106,175242,Salesperson,25,0,
188107,175242,Self employed Professional,26,0,
188108,175242,Service,27,0,
188109,175242,Shop owner,28,0,
188110,175242,Software Professional,29,0,
188111,175242,Steel Fixer,30,0,
188112,175242,Student,31,0,
188113,175242,Supervisor,32,0,
188114,175242,Business Man Medium Scale,33,0,
188115,175242,BUSINESS,34,0,
188116,175242,Agriculturist,35,0,
188117,175242,Business Owner,36,0,
188118,175242,Doctor,37,0,
188119,175242,Lawyer,38,0,
188120,175242,Professional,39,0,
188121,175242,Retired/Pensioner,40,0,
188122,175242,Salaried,41,0,
188123,175242,Self Employed,42,0,
188124,175484,A/C DUCTMAN,1,0,
188125,175484,Advocate / Lawyer,2,0,
188126,175484,Businessman/Industrialist Large Scale,3,0,
188127,175484,Businessman/Industrialist Medium Scale,4,0,
188128,175484,Businessman/Industrialist Small Scale,5,0,
188129,175484,Carpenter,6,0,
188130,175484,Chartered Accountants,7,0,
188131,175484,Clerical,8,0,
188132,175484,Cook,9,0,
188133,175484,ELECTRIC ARC WELDER,10,0,
188134,175484,Executive - Middle Level,11,0,
188135,175484,Executive - Senior Level,12,0,
188136,175484,Executive Junior Level,13,0,
188137,175484,Farming,14,0,
188138,175484,Housemaid,15,0,
188139,175484,HouseWife,16,0,
188140,175484,INDUSTRIAL WIRING ELECTRICIAN,17,0,
188141,175484,Labourer,18,0,
188142,175484,Mason,19,0,
188143,175484,Not Working,20,0,
188144,175484,Others ,21,0,
188145,175484,OXYGEN WELDER,22,0,
188146,175484,Reinforcing Fitter,23,0,
188147,175484,Retired,24,0,
188148,175484,Salesperson,25,0,
188149,175484,Self employed Professional,26,0,
188150,175484,Service,27,0,
188151,175484,Shop owner,28,0,
188152,175484,Software Professional,29,0,
188153,175484,Steel Fixer,30,0,
188154,175484,Student,31,0,
188155,175484,Supervisor,32,0,
188156,175484,Business Man Medium Scale,33,0,
188157,175484,BUSINESS,34,0,
188158,175484,Agriculturist,35,0,
188159,175484,Business Owner,36,0,
188160,175484,Doctor,37,0,
188161,175484,Lawyer,38,0,
188162,175484,Professional,39,0,
188163,175484,Retired/Pensioner,40,0,
188164,175484,Salaried,41,0,
188165,175484,Self Employed,42,0,
188166,175613,A/C DUCTMAN,1,0,
188167,175613,Advocate / Lawyer,2,0,
188168,175613,Businessman/Industrialist Large Scale,3,0,
188169,175613,Businessman/Industrialist Medium Scale,4,0,
188170,175613,Businessman/Industrialist Small Scale,5,0,
188171,175613,Carpenter,6,0,
188172,175613,Chartered Accountants,7,0,
188173,175613,Clerical,8,0,
188174,175613,Cook,9,0,
188175,175613,ELECTRIC ARC WELDER,10,0,
188176,175613,Executive - Middle Level,11,0,
188177,175613,Executive - Senior Level,12,0,
188178,175613,Executive Junior Level,13,0,
188179,175613,Farming,14,0,
188180,175613,Housemaid,15,0,
188181,175613,HouseWife,16,0,
188182,175613,INDUSTRIAL WIRING ELECTRICIAN,17,0,
188183,175613,Labourer,18,0,
188184,175613,Mason,19,0,
188185,175613,Not Working,20,0,
188186,175613,Others ,21,0,
188187,175613,OXYGEN WELDER,22,0,
188188,175613,Reinforcing Fitter,23,0,
188189,175613,Retired,24,0,
188190,175613,Salesperson,25,0,
188191,175613,Self employed Professional,26,0,
188192,175613,Service,27,0,
188193,175613,Shop owner,28,0,
